n,q0,q1,q2,mean_cost,std
20000.0,0.1,0.4,0.3,253.53,103.95
20000.0,0.1,0.4,0.4,224.39,97.88
20000.0,0.1,0.4,0.5,266.05,108.0
20000.0,0.1,0.5,0.1,196.13,87.34
20000.0,0.1,0.5,0.2,211.03,90.32
20000.0,0.1,0.5,0.3,243.95,100.17
20000.0,0.1,0.5,0.4,255.37,99.57
20000.0,0.1,0.5,0.5,268.1,119.95
20000.0,0.2,0.1,0.1,176.69,83.26
20000.0,0.2,0.1,0.2,180.2,83.91
20000.0,0.2,0.1,0.3,206.04,100.18
20000.0,0.2,0.1,0.4,224.29,102.04
20000.0,0.2,0.1,0.5,218.84,97.87
20000.0,0.2,0.2,0.1,209.31,105.69
20000.0,0.2,0.2,0.2,231.98,97.78
20000.0,0.2,0.2,0.3,259.89,104.02
20000.0,0.2,0.2,0.4,268.3,112.33
20000.0,0.2,0.2,0.5,260.83,103.53
20000.0,0.2,0.3,0.1,228.22,100.3
20000.0,0.2,0.3,0.2,271.99,94.16
20000.0,0.2,0.3,0.3,285.53,125.47
20000.0,0.2,0.3,0.4,272.74,113.18
20000.0,0.2,0.3,0.5,297.78,119.38
20000.0,0.2,0.4,0.1,234.06,104.08
20000.0,0.2,0.4,0.2,263.57,113.99
20000.0,0.2,0.4,0.3,297.48,151.61
20000.0,0.2,0.4,0.4,300.18,132.67
20000.0,0.2,0.4,0.5,287.07,130.09
20000.0,0.2,0.5,0.1,227.6,96.46
20000.0,0.2,0.5,0.2,285.06,114.33
20000.0,0.2,0.5,0.3,266.03,105.34
20000.0,0.2,0.5,0.4,311.62,142.96
20000.0,0.2,0.5,0.5,296.65,139.42
20000.0,0.3,0.1,0.1,187.36,88.56
20000.0,0.3,0.1,0.2,228.22,100.55
20000.0,0.3,0.1,0.3,226.86,94.63
20000.0,0.3,0.1,0.4,252.3,113.54
20000.0,0.3,0.1,0.5,254.25,109.52
20000.0,0.3,0.2,0.1,214.28,92.86
20000.0,0.3,0.2,0.2,242.1,114.71
20000.0,0.3,0.2,0.3,278.45,126.3
20000.0,0.3,0.2,0.4,276.41,116.77
20000.0,0.3,0.2,0.5,282.58,129.71
20000.0,0.3,0.3,0.1,227.59,111.6
20000.0,0.3,0.3,0.2,249.74,103.58
20000.0,0.3,0.3,0.3,266.98,119.18
20000.0,0.3,0.3,0.4,319.72,120.95
20000.0,0.3,0.3,0.5,289.57,121.05
20000.0,0.3,0.4,0.1,228.22,100.47
20000.0,0.3,0.4,0.2,275.63,116.41
20000.0,0.3,0.4,0.3,290.58,125.43
20000.0,0.3,0.4,0.4,317.58,149.45
20000.0,0.3,0.4,0.5,330.35,142.26
20000.0,0.3,0.5,0.1,250.4,111.44
20000.0,0.3,0.5,0.2,275.93,131.17
20000.0,0.3,0.5,0.3,269.26,110.87
20000.0,0.3,0.5,0.4,318.33,131.8
20000.0,0.3,0.5,0.5,307.85,123.79
20000.0,0.4,0.1,0.1,191.69,80.99
20000.0,0.4,0.1,0.2,225.72,101.39
20000.0,0.4,0.1,0.3,219.62,96.24
20000.0,0.4,0.1,0.4,259.47,111.56
20000.0,0.4,0.1,0.5,242.27,110.79
20000.0,0.4,0.2,0.1,225.71,100.34
20000.0,0.4,0.2,0.2,281.66,126.85
20000.0,0.4,0.2,0.3,280.46,112.47
20000.0,0.4,0.2,0.4,309.81,130.41
20000.0,0.4,0.2,0.5,282.71,113.94
20000.0,0.4,0.3,0.1,232.5,107.67
20000.0,0.4,0.3,0.2,272.32,134.9
20000.0,0.4,0.3,0.3,283.71,131.2
20000.0,0.4,0.3,0.4,309.99,122.66
20000.0,0.4,0.3,0.5,325.62,138.19
20000.0,0.4,0.4,0.1,275.93,127.66
20000.0,0.4,0.4,0.2,293.83,126.24
20000.0,0.4,0.4,0.3,304.66,124.43
20000.0,0.4,0.4,0.4,326.95,118.64
20000.0,0.4,0.4,0.5,314.59,146.16
20000.0,0.4,0.5,0.1,253.57,114.98
20000.0,0.4,0.5,0.2,301.75,122.99
20000.0,0.4,0.5,0.3,345.54,151.26
20000.0,0.4,0.5,0.4,326.4,136.98
20000.0,0.4,0.5,0.5,336.34,149.26
20000.0,0.5,0.1,0.1,195.04,83.63
20000.0,0.5,0.1,0.2,208.74,100.42
20000.0,0.5,0.1,0.3,237.86,109.32
20000.0,0.5,0.1,0.4,256.01,101.75
20000.0,0.5,0.1,0.5,256.38,93.42
20000.0,0.5,0.2,0.1,222.69,86.94
20000.0,0.5,0.2,0.2,275.18,119.96
20000.0,0.5,0.2,0.3,266.98,113.55
20000.0,0.5,0.2,0.4,283.21,114.84
20000.0,0.5,0.2,0.5,315.03,134.77
20000.0,0.5,0.3,0.1,257.3,107.62
20000.0,0.5,0.3,0.2,272.61,122.61
20000.0,0.5,0.3,0.3,302.69,133.52
20000.0,0.5,0.3,0.4,328.11,130.15
20000.0,0.5,0.3,0.5,319.14,143.6
20000.0,0.5,0.4,0.1,248.28,122.8
20000.0,0.5,0.4,0.2,292.8,122.54
20000.0,0.5,0.4,0.3,332.32,140.06
20000.0,0.5,0.4,0.4,337.98,134.32
20000.0,0.5,0.4,0.5,327.75,126.95
20000.0,0.5,0.5,0.1,249.51,108.3
20000.0,0.5,0.5,0.2,307.88,130.75
20000.0,0.5,0.5,0.3,310.36,129.15
20000.0,0.5,0.5,0.4,306.04,130.16
20000.0,0.5,0.5,0.5,325.71,143.8
25000.0,0.1,0.1,0.1,179.84,80.99
25000.0,0.1,0.1,0.2,205.27,103.88
25000.0,0.1,0.1,0.3,210.71,99.13
25000.0,0.1,0.1,0.4,213.15,85.66
25000.0,0.1,0.1,0.5,219.04,102.03
25000.0,0.1,0.2,0.1,201.67,88.5
25000.0,0.1,0.2,0.2,226.02,95.79
25000.0,0.1,0.2,0.3,259.45,113.13
25000.0,0.1,0.2,0.4,240.46,114.67
25000.0,0.1,0.2,0.5,280.44,120.76
25000.0,0.1,0.3,0.1,218.68,90.11
25000.0,0.1,0.3,0.2,244.11,115.54
25000.0,0.1,0.3,0.3,252.34,111.5
25000.0,0.1,0.3,0.4,276.52,117.13
25000.0,0.1,0.3,0.5,260.54,106.73
25000.0,0.1,0.4,0.1,233.54,103.46
25000.0,0.1,0.4,0.2,264.92,123.92
25000.0,0.1,0.4,0.3,272.25,106.97
25000.0,0.1,0.4,0.4,295.3,115.33
25000.0,0.1,0.4,0.5,286.14,108.65
25000.0,0.1,0.5,0.1,220.05,106.39
25000.0,0.1,0.5,0.2,255.05,114.34
25000.0,0.1,0.5,0.3,305.72,127.45
25000.0,0.1,0.5,0.4,285.82,136.23
25000.0,0.1,0.5,0.5,297.22,147.73
25000.0,0.2,0.1,0.1,212.17,102.17
25000.0,0.2,0.1,0.2,230.47,104.23
25000.0,0.2,0.1,0.3,265.83,118.62
25000.0,0.2,0.1,0.4,246.74,123.24
25000.0,0.2,0.1,0.5,252.18,112.84
25000.0,0.2,0.2,0.1,245.86,102.06
25000.0,0.2,0.2,0.2,263.01,118.77
25000.0,0.2,0.2,0.3,284.43,133.54
25000.0,0.2,0.2,0.4,321.6,149.88
25000.0,0.2,0.2,0.5,301.88,132.01
25000.0,0.2,0.3,0.1,239.36,101.5
25000.0,0.2,0.3,0.2,294.75,137.26
25000.0,0.2,0.3,0.3,318.25,124.61
25000.0,0.2,0.3,0.4,350.57,141.69
25000.0,0.2,0.3,0.5,329.35,140.92
25000.0,0.2,0.4,0.1,253.87,100.77
25000.0,0.2,0.4,0.2,294.85,125.57
25000.0,0.2,0.4,0.3,340.9,156.2
25000.0,0.2,0.4,0.4,372.82,130.15
25000.0,0.2,0.4,0.5,310.95,138.27
25000.0,0.2,0.5,0.1,264.48,116.38
25000.0,0.2,0.5,0.2,312.45,140.83
25000.0,0.2,0.5,0.3,326.94,148.0
25000.0,0.2,0.5,0.4,358.79,132.51
25000.0,0.2,0.5,0.5,324.03,112.06
25000.0,0.3,0.1,0.1,219.4,94.84
25000.0,0.3,0.1,0.2,252.68,116.49
25000.0,0.3,0.1,0.3,263.55,103.3
25000.0,0.3,0.1,0.4,255.68,125.34
25000.0,0.3,0.1,0.5,292.89,131.67
25000.0,0.3,0.2,0.1,233.84,113.05
25000.0,0.3,0.2,0.2,310.07,130.78
25000.0,0.3,0.2,0.3,283.49,128.56
25000.0,0.3,0.2,0.4,324.09,147.94
25000.0,0.3,0.2,0.5,336.95,138.55
25000.0,0.3,0.3,0.1,292.21,126.45
25000.0,0.3,0.3,0.2,291.29,117.67
25000.0,0.3,0.3,0.3,333.0,147.52
25000.0,0.3,0.3,0.4,362.37,140.74
25000.0,0.3,0.3,0.5,344.74,145.63
25000.0,0.3,0.4,0.1,286.77,120.4
25000.0,0.3,0.4,0.2,301.62,130.17
25000.0,0.3,0.4,0.3,355.1,154.26
25000.0,0.3,0.4,0.4,350.16,139.41
25000.0,0.3,0.4,0.5,363.92,149.88
25000.0,0.3,0.5,0.1,280.98,120.19
25000.0,0.3,0.5,0.2,309.06,134.63
25000.0,0.3,0.5,0.3,368.64,142.18
25000.0,0.3,0.5,0.4,372.63,141.83
25000.0,0.3,0.5,0.5,347.59,150.89
25000.0,0.4,0.1,0.1,228.16,106.94
25000.0,0.4,0.1,0.2,256.15,103.44
25000.0,0.4,0.1,0.3,280.0,123.25
25000.0,0.4,0.1,0.4,262.31,125.89
25000.0,0.4,0.1,0.5,292.89,136.0
25000.0,0.4,0.2,0.1,260.39,108.88
25000.0,0.4,0.2,0.2,295.19,123.08
25000.0,0.4,0.2,0.3,304.69,132.25
25000.0,0.4,0.2,0.4,332.24,133.83
25000.0,0.4,0.2,0.5,340.92,141.03
25000.0,0.4,0.3,0.1,282.34,125.58
25000.0,0.4,0.3,0.2,330.89,143.7
25000.0,0.4,0.3,0.3,352.8,164.45
25000.0,0.4,0.3,0.4,378.66,146.86
25000.0,0.4,0.3,0.5,358.03,126.49
25000.0,0.4,0.4,0.1,286.97,124.19
25000.0,0.4,0.4,0.2,337.38,165.43
25000.0,0.4,0.4,0.3,356.74,146.92
25000.0,0.4,0.4,0.4,367.41,165.59
25000.0,0.4,0.4,0.5,388.31,155.16
25000.0,0.4,0.5,0.1,278.07,131.68
25000.0,0.4,0.5,0.2,320.8,128.23
25000.0,0.4,0.5,0.3,364.56,148.84
25000.0,0.4,0.5,0.4,390.59,168.58
25000.0,0.4,0.5,0.5,377.25,169.7
25000.0,0.5,0.1,0.1,210.94,91.59
25000.0,0.5,0.1,0.2,247.55,112.57
25000.0,0.5,0.1,0.3,282.95,147.42
25000.0,0.5,0.1,0.4,280.38,114.64
25000.0,0.5,0.1,0.5,292.04,121.0
25000.0,0.5,0.2,0.1,250.51,98.96
25000.0,0.5,0.2,0.2,275.32,111.78
25000.0,0.5,0.2,0.3,321.54,142.39
25000.0,0.5,0.2,0.4,341.39,143.99
25000.0,0.5,0.2,0.5,358.22,150.91
25000.0,0.5,0.3,0.1,292.5,129.86
25000.0,0.5,0.3,0.2,323.72,159.8
25000.0,0.5,0.3,0.3,344.09,156.67
25000.0,0.5,0.3,0.4,340.9,173.93
25000.0,0.5,0.3,0.5,390.83,163.53
25000.0,0.5,0.4,0.1,303.79,133.89
25000.0,0.5,0.4,0.2,334.44,132.3
25000.0,0.5,0.4,0.3,368.21,152.21
25000.0,0.5,0.4,0.4,396.59,159.13
25000.0,0.5,0.4,0.5,369.46,148.15
25000.0,0.5,0.5,0.1,299.88,136.95
25000.0,0.5,0.5,0.2,339.52,140.13
25000.0,0.5,0.5,0.3,359.47,166.91
25000.0,0.5,0.5,0.4,383.16,151.56
25000.0,0.5,0.5,0.5,388.28,160.98
30000.0,0.1,0.1,0.1,182.01,83.81
30000.0,0.1,0.1,0.2,204.93,89.97
30000.0,0.1,0.1,0.3,242.42,95.7
30000.0,0.1,0.1,0.4,231.94,104.54
30000.0,0.1,0.1,0.5,250.13,115.85
30000.0,0.1,0.2,0.1,213.37,102.95
30000.0,0.1,0.2,0.2,242.73,99.76
30000.0,0.1,0.2,0.3,263.0,113.39
30000.0,0.1,0.2,0.4,285.21,116.0
30000.0,0.1,0.2,0.5,294.66,122.95
30000.0,0.1,0.3,0.1,235.76,103.86
30000.0,0.1,0.3,0.2,263.95,127.32
30000.0,0.1,0.3,0.3,302.32,136.47
30000.0,0.1,0.3,0.4,340.92,140.76
30000.0,0.1,0.3,0.5,303.28,138.74
30000.0,0.1,0.4,0.1,278.42,126.42
30000.0,0.1,0.4,0.2,269.88,114.31
30000.0,0.1,0.4,0.3,315.08,138.5
30000.0,0.1,0.4,0.4,337.18,130.59
30000.0,0.1,0.4,0.5,300.29,131.88
30000.0,0.1,0.5,0.1,243.5,116.41
30000.0,0.1,0.5,0.2,278.25,140.08
30000.0,0.1,0.5,0.3,301.22,115.7
30000.0,0.1,0.5,0.4,322.54,143.48
30000.0,0.1,0.5,0.5,307.1,123.6
30000.0,0.2,0.1,0.1,226.58,90.62
30000.0,0.2,0.1,0.2,226.87,115.68
30000.0,0.2,0.1,0.3,276.64,131.91
30000.0,0.2,0.1,0.4,286.95,149.65
30000.0,0.2,0.1,0.5,282.67,132.67
30000.0,0.2,0.2,0.1,248.66,120.52
30000.0,0.2,0.2,0.2,283.43,113.11
30000.0,0.2,0.2,0.3,319.76,127.61
30000.0,0.2,0.2,0.4,325.63,136.96
30000.0,0.2,0.2,0.5,332.76,145.99
30000.0,0.2,0.3,0.1,279.94,116.98
30000.0,0.2,0.3,0.2,335.07,143.67
30000.0,0.2,0.3,0.3,335.72,141.4
30000.0,0.2,0.3,0.4,356.38,158.35
30000.0,0.2,0.3,0.5,380.75,169.97
30000.0,0.2,0.4,0.1,275.55,116.03
30000.0,0.2,0.4,0.2,332.82,147.36
30000.0,0.2,0.4,0.3,338.0,150.35
30000.0,0.2,0.4,0.4,372.68,173.62
30000.0,0.2,0.4,0.5,372.42,154.94
30000.0,0.2,0.5,0.1,270.01,118.05
30000.0,0.2,0.5,0.2,317.23,142.32
30000.0,0.2,0.5,0.3,360.95,148.57
30000.0,0.2,0.5,0.4,363.8,167.67
30000.0,0.2,0.5,0.5,393.29,164.06
30000.0,0.3,0.1,0.1,240.63,100.38
30000.0,0.3,0.1,0.2,268.52,123.8
30000.0,0.3,0.1,0.3,292.18,146.21
30000.0,0.3,0.1,0.4,319.74,150.4
30000.0,0.3,0.1,0.5,286.01,119.66
30000.0,0.3,0.2,0.1,265.49,132.3
